Nätområde,NätId,Nättyp,Elområde,Nätägare,EDIELID
Växjö,VXO,Lokalnät,4,Växjö Energi Elnät AB,39200
Ystad,YST,Lokalnät,4,Ystad Energi Elnät AB,40800
Ådalen Lokal,ALL,Lokalnät,2,E.ON Energidistribution AB,16000
Ådalen region,ADL,Regionnät,2,E.ON Energidistribution AB,16000
Åkersberga,AKB,Lokalnät,3,E.ON Energidistribution AB,16000
Ålem,ALM,Lokalnät,4,Ålem Energi Elnät AB,44900
Åmål,AML,Lokalnät,3,Vattenfall Eldistribution AB,16400
Ånge,ANE,Lokalnät,2,Härjeåns Nät AB,43600
Ånge region,ANN,Regionnät,2,Vattenfall Eldistribution AB,16400
Ångermanälven region,AMN,Regionnät,2,Vattenfall Eldistribution AB,16400
Årjäng,ANG,Lokalnät,3,Vattenfall Eldistribution AB,16400
Årsunda,ARS,Lokalnät,3,Årsunda Kraft o Belysningsf,46600
Åsele,ASL,Lokalnät,2,Åsele Elnät AB,71500
Åskälen,ASK,Lokalnät,2,Åskälen Vindkraft Elnät AB,12800
Älvdalen,AVD,Lokalnät,3,Ellevio AB,14900
Älvsbybygden,ABB,Lokalnät,1,Vattenfall Eldistribution AB,16400
Ängelholmsbygden,AHB,Lokalnät,4,Öresundskraft Elnät AB,40400
Öckerö,OCK,Lokalnät,3,Ellevio AB,14900
Öland,OLD,Lokalnät,4,E.ON Energidistribution AB,16000
Örnsköldsvik,OVK,Lokalnät,2,Övik Energi Nät AB,45700
Österfärnebo,OFB,Lokalnät,3,Sandviken Energi Elnät AB,31900
Österlen,OLN,Lokalnät,4,Österlens Kraft Elnät AB,32200
Östhammar,OHM,Lokalnät,3,Vattenfall Eldistribution AB,16400
Östra Götaland,OGO,Lokalnät,3,E.ON Energidistribution AB,16000
Östsverige region,VFO,Regionnät,3,Vattenfall Eldistribution AB,16400

